,city,start_lat,start_lon,cnt,end_lat,end_lon
0,Mumbai,19.07283,72.88261,16,28.63576,77.22445
1,Gurgaon,28.4601,77.02635,8,28.63576,77.22445
2,Agartala,23.83605,91.27939,1,28.63576,77.22445
3,New Delhi,28.63576,77.22445,42,28.63576,77.22445
4,Haveli,30.45016,73.69888,4,28.63576,77.22445
5,Dubai,25.0657,55.17128,4,28.63576,77.22445
6,Davis,38.54491,-121.74052,1,28.63576,77.22445
7,Doha,25.27932,51.52245,1,28.63576,77.22445
8,Noida,28.58,77.33,7,28.63576,77.22445
9,Tallinn,59.43696,24.75353,1,28.63576,77.22445
10,Camberwell,-37.84205,145.0694,1,28.63576,77.22445
11,Greater Noida,28.49615,77.53601,1,28.63576,77.22445
12,Bentonville,36.37285,-94.20882,1,28.63576,77.22445
13,Bhopal,23.25469,77.40289,1,28.63576,77.22445
14,Dammam,26.43442,50.10326,1,28.63576,77.22445
15,Mohali,30.67995,76.72211,1,28.63576,77.22445
16,Chandauli,25.25803,83.26825,1,28.63576,77.22445
17,Jaipur,26.91962,75.78781,2,28.63576,77.22445
18,Barking,51.53333,0.08333,1,28.63576,77.22445
19,Chengalpattu,12.69274,79.9773,1,28.63576,77.22445
20,Bengaluru,12.97194,77.59369,3,28.63576,77.22445
21,Kanpur,26.46523,80.34975,2,28.63576,77.22445
22,Hubli,15.34776,75.13378,1,28.63576,77.22445
23,Jatani,20.15975,85.70742,1,28.63576,77.22445
24,Ranchi,23.34316,85.3094,1,28.63576,77.22445
25,Kolkata,22.56263,88.36304,1,28.63576,77.22445
26,Chennai,13.08784,80.27847,1,28.63576,77.22445
27,Bhuj,23.25397,69.66928,1,28.63576,77.22445
28,Prospect Heights,42.0953,-87.93757,1,28.63576,77.22445
29,Tempe,33.41477,-111.90931,1,28.63576,77.22445
