,date,freq
0,2017-11-30 06:00:00,4
1,2017-11-30 08:00:00,2
2,2017-11-30 09:00:00,4
3,2017-11-30 10:00:00,2
4,2017-11-30 11:00:00,3
5,2017-11-30 13:00:00,2
6,2017-11-30 14:00:00,3
7,2017-11-30 15:00:00,2
8,2017-11-30 16:00:00,1
9,2017-11-30 17:00:00,7
10,2017-11-30 18:00:00,5
11,2017-11-30 19:00:00,1
12,2017-11-30 20:00:00,2
13,2017-11-30 21:00:00,1
14,2017-11-30 22:00:00,1
15,2017-12-01 01:00:00,2
16,2017-12-01 02:00:00,3
17,2017-12-01 03:00:00,3
18,2017-12-01 05:00:00,2
19,2017-12-01 07:00:00,16
20,2017-12-01 08:00:00,3
21,2017-12-01 09:00:00,3
22,2017-12-01 10:00:00,5
23,2017-12-01 11:00:00,3
24,2017-12-01 12:00:00,8
25,2017-12-01 13:00:00,1
26,2017-12-01 14:00:00,8
27,2017-12-01 15:00:00,3
28,2017-12-01 16:00:00,4
29,2017-12-01 17:00:00,1
30,2017-12-01 18:00:00,5
31,2017-12-02 00:00:00,3
32,2017-12-02 01:00:00,1
33,2017-12-02 02:00:00,1
34,2017-12-02 03:00:00,3
35,2017-12-02 04:00:00,5
36,2017-12-02 05:00:00,4
37,2017-12-02 06:00:00,3
38,2017-12-02 07:00:00,7
39,2017-12-02 08:00:00,1
40,2017-12-02 09:00:00,1
41,2017-12-02 10:00:00,4
42,2017-12-02 11:00:00,2
43,2017-12-02 12:00:00,3
44,2017-12-02 13:00:00,1
45,2017-12-02 14:00:00,1
46,2017-12-02 15:00:00,2
47,2017-12-02 16:00:00,2
48,2017-12-02 17:00:00,3
49,2017-12-02 22:00:00,1
50,2017-12-02 23:00:00,1
51,2017-12-03 00:00:00,1
52,2017-12-03 02:00:00,1
53,2017-12-03 03:00:00,1
54,2017-12-03 04:00:00,2
55,2017-12-03 05:00:00,6
56,2017-12-03 06:00:00,27
57,2017-12-03 07:00:00,509
58,2017-12-03 08:00:00,1176
59,2017-12-03 09:00:00,549
60,2017-12-03 10:00:00,404
61,2017-12-03 11:00:00,261
62,2017-12-03 12:00:00,217
63,2017-12-03 13:00:00,199
64,2017-12-03 14:00:00,177
65,2017-12-03 15:00:00,137
66,2017-12-03 16:00:00,155
67,2017-12-03 17:00:00,108
68,2017-12-03 18:00:00,76
69,2017-12-03 19:00:00,40
70,2017-12-03 20:00:00,27
71,2017-12-03 21:00:00,20
72,2017-12-03 22:00:00,6
73,2017-12-03 23:00:00,13
74,2017-12-04 00:00:00,12
75,2017-12-04 01:00:00,27
76,2017-12-04 02:00:00,46
77,2017-12-04 03:00:00,59
78,2017-12-04 04:00:00,68
79,2017-12-04 05:00:00,66
80,2017-12-04 06:00:00,45
