,date,freq
0,2017-12-06 07:00:00,236
1,2017-12-06 08:00:00,371
2,2017-12-06 09:00:00,1124
3,2017-12-06 10:00:00,619
4,2017-12-06 11:00:00,637
5,2017-12-06 12:00:00,505
6,2017-12-06 13:00:00,439
7,2017-12-06 14:00:00,354
8,2017-12-06 15:00:00,319
9,2017-12-06 16:00:00,245
10,2017-12-06 17:00:00,207
11,2017-12-06 18:00:00,162
12,2017-12-06 19:00:00,89
13,2017-12-06 20:00:00,42
14,2017-12-06 21:00:00,21
15,2017-12-06 22:00:00,26
16,2017-12-06 23:00:00,13
17,2017-12-07 00:00:00,18
18,2017-12-07 01:00:00,54
19,2017-12-07 02:00:00,63
20,2017-12-07 03:00:00,121
21,2017-12-07 04:00:00,173
22,2017-12-07 05:00:00,130
23,2017-12-07 06:00:00,104
24,2017-12-07 07:00:00,101
25,2017-12-07 08:00:00,104
26,2017-12-07 09:00:00,98
27,2017-12-07 10:00:00,132
28,2017-12-07 11:00:00,75
29,2017-12-07 12:00:00,99
30,2017-12-07 13:00:00,77
31,2017-12-07 14:00:00,211
32,2017-12-07 15:00:00,101
33,2017-12-07 16:00:00,139
34,2017-12-07 17:00:00,69
35,2017-12-07 18:00:00,57
36,2017-12-07 19:00:00,24
37,2017-12-07 20:00:00,13
38,2017-12-07 21:00:00,13
39,2017-12-07 22:00:00,7
40,2017-12-07 23:00:00,4
41,2017-12-08 00:00:00,8
42,2017-12-08 01:00:00,23
43,2017-12-08 02:00:00,50
44,2017-12-08 03:00:00,59
45,2017-12-08 04:00:00,72
46,2017-12-08 05:00:00,172
47,2017-12-08 06:00:00,96
48,2017-12-08 07:00:00,42
49,2017-12-08 08:00:00,40
50,2017-12-08 09:00:00,54
51,2017-12-08 10:00:00,44
52,2017-12-08 11:00:00,48
53,2017-12-08 12:00:00,42
54,2017-12-08 13:00:00,32
55,2017-12-08 14:00:00,124
56,2017-12-08 15:00:00,101
57,2017-12-08 16:00:00,68
58,2017-12-08 17:00:00,39
59,2017-12-08 18:00:00,41
60,2017-12-08 19:00:00,21
61,2017-12-08 20:00:00,4
62,2017-12-08 21:00:00,6
63,2017-12-08 22:00:00,2
64,2017-12-08 23:00:00,3
65,2017-12-09 00:00:00,8
66,2017-12-09 01:00:00,27
67,2017-12-09 02:00:00,24
68,2017-12-09 03:00:00,43
69,2017-12-09 04:00:00,47
70,2017-12-09 05:00:00,43
71,2017-12-09 06:00:00,56
72,2017-12-09 07:00:00,70
73,2017-12-09 08:00:00,39
74,2017-12-09 09:00:00,72
75,2017-12-09 10:00:00,57
76,2017-12-09 11:00:00,108
77,2017-12-09 12:00:00,75
78,2017-12-09 13:00:00,40
79,2017-12-09 14:00:00,45
80,2017-12-09 15:00:00,37
81,2017-12-09 16:00:00,37
82,2017-12-09 17:00:00,97
83,2017-12-09 18:00:00,36
84,2017-12-09 19:00:00,23
85,2017-12-09 20:00:00,11
86,2017-12-09 21:00:00,2
87,2017-12-09 22:00:00,6
88,2017-12-09 23:00:00,4
89,2017-12-10 00:00:00,4
90,2017-12-10 01:00:00,16
91,2017-12-10 02:00:00,25
92,2017-12-10 03:00:00,18
93,2017-12-10 04:00:00,24
94,2017-12-10 05:00:00,79
95,2017-12-10 06:00:00,82
96,2017-12-10 07:00:00,56
97,2017-12-10 08:00:00,37
98,2017-12-10 09:00:00,43
99,2017-12-10 10:00:00,22
